coupon_number,time,pari_type,description,factor,result,stake_amount,win_amount,start_time,event,pari,detail_factor,score,detail_result,expanded,express_events
18629927496,19:43:18,Пари на спорт,Одинар,1.60,Проигрыш,529,-529,05.11.2025 23:35,Накашима Б – Джирон M,Поб 1,1.60,0:2,Проигрыш,True,
18618907935,16:38:34,Пари на спорт,Одинар,1.64,Проигрыш,500,-500,05.11.2025 23:35,Накашима Б – Джирон M,Поб 1,1.64,0:2,Проигрыш,True,
18645981672,00:19:02,Пари на спорт,Одинар,1.98,Выигрыш,450,891,05.11.2025 23:00,LIVE 2:2 Брюгге – Барселона,1X (осн. время),1.98,3:3,Выигрыш,True,
18630125199,19:46:20,Пари на спорт,Экспресс × 3,2.99,Проигрыш,250,-250,05.11.2025 23:00,Брюгге – Барселона,Поб 2 (осн. время),1.55,3:3,Проигрыш,True,
18630111142,19:46:07,Пари на спорт,Экспресс × 2,1.93,Выигрыш,250,483,05.11.2025 23:00,Манчестер Сити – Боруссия Дортмунд,Поб 1 (осн. время),1.43,4:1,Выигрыш,True,
18630093264,19:45:52,Пари на спорт,Экспресс × 2,2.22,Проигрыш,250,-250,05.11.2025 23:00,Брюгге – Барселона,Поб 2 (осн. время),1.55,3:3,Проигрыш,True,
18630083384,19:45:44,Пари на спорт,Экспресс × 2,2.09,Проигрыш,250,-250,05.11.2025 23:00,Брюгге – Барселона,Поб 2 (осн. время),1.55,3:3,Проигрыш,True,
18639616709,22:18:18,Пари на спорт,Одинар,2.18,Выигрыш,300,654,05.11.2025 20:45,LIVE 2:2 Карабах – Челси,Ничья (осн. время),2.18,2:2,Выигрыш,True,
18618925379,16:38:53,Пари на спорт,Одинар,2.10,Выигрыш,252,529,05.11.2025 18:00,Гастон У – Альтмайер Д,Поб 2,2.10,1:2,Выигрыш,True,
18614807205,15:09:45,Пари на спорт,Одинар,1.48,Выигрыш,2 000,2 960,05.11.2025 14:25,LIVE 0:0 2-я карта Team Spirit – The Mongolz,Поб 1,1.48,19:16,Выигрыш,True,
18614299630,14:58:36,Пари на спорт,Одинар,2.30,Проигрыш,250,-250,05.11.2025 14:25,LIVE 4:8 1-я карта Team Spirit – The Mongolz,Поб 1,2.30,7:13,Проигрыш,True,
